Aquifer,Top,Bot,Thick_ft,Description
Upper,0,20,20,clay
Upper,30,37,7,sand
Upper,37,45,8,clay
Upper,45,52,7,sand
Upper,52,60,8,clay
Upper,60,65,5,sand
Upper,65,70,5,clay
Upper,70,75,5,sand
Upper,75,80,5,clay
Upper,80,90,10,sand
Upper,97,110,13,clay
Upper,110,115,5,sand
Upper,115,120,5,clay
Upper,120,133,13,sand
Upper,133,147,14,clay
Upper,147,175,28,clay
Upper,175,180,5,sand
Upper,180,185,5,clay
Lower,185,186,1,sand
Lower,186,187,1,clay
Lower,187,188,1,sand
Lower,188,190,2,clay
Lower,190,192,2,sand
Lower,192,195,3,clay
Lower,195,197,2,sand
Lower,197,200,3,clay
Lower,200,202,2,sand
Lower,202,205,3,clay
Lower,205,207,2,sand
Lower,207,210,3,clay
Lower,210,212,2,sand
Lower,212,215,3,clay
Lower,215,218,3,sand
Lower,218,221,3,clay
Lower,221,227,6,clay
Lower,227,229,2,sand
Lower,229,231,2,clay
Lower,231,233,2,sand
Lower,233,235,2,clay
Lower,235,238,3,sand
Lower,238,242,4,clay
Lower,242,250,8,clay
Lower,255,257,2,sand
Lower,257,260,3,clay
Lower,260,264,4,sand
Lower,264,268,4,clay
Lower,268,270,2,sand
Lower,270,273,3,clay
Lower,273,278,5,clay
Lower,278,292,14,clay
Lower,294,295,1,sand
Lower,295,296,1,clay
Lower,296,298,2,sand
Lower,298,301,3,clay
Lower,301,303,2,sand
Lower,303,305,2,clay
Lower,305,308,3,sand
Lower,308,311,3,clay
Lower,311,313,2,sand
Lower,313,315,2,clay
Lower,315,317,2,sand
Lower,317,320,3,clay
Lower,320,322,2,sand
Lower,322,325,3,clay
Lower,325,327,2,sand
Lower,327,330,3,clay
Lower,330,332,2,sand
Lower,332,334,2,clay
Lower,334,336,2,sand
Lower,336,338,2,clay
Lower,338,345,7,clay
Lower,345,346,1,sand
Lower,346,348,2,clay
Lower,348,350,2,sand
Lower,350,352,2,clay
