Aquifer,Top,Bot,Thick_ft,Description
Upper,0,6,6,sand
Upper,6,12,6,sand
Upper,12,19,7,clay
Upper,19,30,11,clay
Upper,30,37,7,sand
Upper,37,62,25,sand
Upper,62,63,1,sand
Upper,63,65,2,clay
Upper,65,70,5,clay
Upper,70,80,10,clay
Upper,80,90,10,sand
Upper,90,110,20,clay
Upper,110,125,15,sand
Upper,125,140,15,sand
Upper,140,141,1,clay
Upper,141,145,4,sand
Upper,145,150,5,clay
Upper,150,160,10,sand
Upper,160,180,20,sand
Upper,180,200,20,clay
Upper,200,210,10,sand
Upper,210,230,20,clay
Upper,230,245,15,sand
Upper,250,270,20,clay
Upper,270,290,20,sand
Upper,290,305,15,sand
Corcoran,305,320,15,clay
Corcoran,320,323,3,sand
Corcoran,323,327,4,clay
Lower,327,330,3,sand
Lower,330,333,3,clay
Lower,333,339,6,clay
Lower,339,343,4,sand
Lower,343,348,5,clay
Lower,348,371,23,clay
Lower,371,373,2,sand
Lower,373,375,2,clay
Lower,375,379,4,clay
Lower,379,396,17,sand
Lower,396,408,12,sand
Lower,408,411,3,clay
Lower,411,412,1,sand
Lower,412,413,1,clay
Lower,413,433,20,clay
Lower,433,441,8,sand
Lower,441,456,15,clay
Lower,456,457,1,sand
Lower,457,459,2,clay
Lower,459,462,3,clay
Lower,462,477,15,sand
Lower,477,483,6,clay
Lower,483,486,3,sand
Lower,486,489,3,clay
Lower,489,491,2,sand
Lower,491,494,3,clay
Lower,494,498,4,sand
Lower,498,501,3,clay
Lower,501,511,10,sand
Lower,511,536,25,clay
Lower,536,549,13,clay
Lower,549,555,6,clay
Lower,555,559,4,clay
Lower,559,565,6,clay
Lower,565,569,4,clay
Lower,569,571,2,sand
Lower,571,573,2,clay
Lower,573,582,9,sand
Lower,582,591,9,clay
Lower,591,595,4,clay
Lower,595,597,2,sand
Lower,597,599,2,clay
Lower,599,620,21,clay
Lower,620,620,0,sand
Lower,620,621,1,clay
Lower,621,622,1,sand
Lower,622,623,1,clay
Lower,623,627,4,sand
Lower,627,640,13,clay
Lower,640,651,11,sand
Lower,651,657,6,clay
Lower,657,670,13,sand
Lower,670,675,5,sand
Lower,675,681,6,clay
Lower,681,689,8,sand
Lower,689,698,9,clay
Lower,698,705,7,clay
Lower,705,710,5,sand
Lower,710,710,0,sand
Lower,710,711,1,clay
Lower,711,711,0,sand
Lower,711,712,1,clay
Lower,712,713,1,sand
Lower,713,715,2,clay
Lower,715,740,25,clay
Lower,740,744,4,sand
Lower,744,766,22,clay
Lower,766,768,2,sand
Lower,768,770,2,clay
Lower,770,772,2,sand
Lower,772,775,3,clay
Lower,775,791,16,sand
Lower,791,807,16,clay
Lower,807,811,4,clay
Lower,811,814,3,sand
Lower,814,823,9,clay
Lower,823,826,3,sand
Lower,826,829,3,clay
Lower,829,846,17,clay
Lower,846,854,8,sand
Lower,854,862,8,sand
Lower,862,871,9,clay
Lower,871,873,2,sand
Lower,873,875,2,clay
Lower,875,891,16,clay
Lower,891,894,3,sand
Lower,894,897,3,clay
Lower,897,903,6,clay
Lower,903,910,7,sand
Lower,910,928,18,clay
Lower,928,941,13,sand
Lower,941,954,13,clay
Lower,954,967,13,sand
Lower,967,981,14,clay
Lower,981,982,1,sand
Lower,982,984,2,clay
Lower,984,988,4,sand
Lower,988,993,5,clay
Lower,993,998,5,sand
Lower,998,1003,5,clay
Lower,1003,1003,0,sand
Lower,1003,1004,1,clay
Lower,1004,1005,1,sand
Lower,1005,1006,1,clay
Lower,1006,1006,0,sand
Lower,1006,1007,1,clay
Lower,1007,1007,0,sand
Lower,1007,1008,1,clay
Lower,1008,1009,1,sand
Lower,1009,1010,1,clay
Lower,1010,1019,9,sand
Lower,1019,1028,9,clay
Lower,1028,1042,14,sand
Lower,1042,1057,15,clay
Lower,1057,1063,6,sand
Lower,1063,1069,6,clay
Lower,1069,1070,1,sand
Lower,1070,1072,2,clay
Lower,1072,1074,2,sand
Lower,1074,1077,3,clay
Lower,1077,1079,2,sand
Lower,1079,1081,2,clay
Lower,1081,1083,2,sand
Lower,1083,1086,3,clay
Lower,1086,1089,3,sand
Lower,1089,1092,3,clay
